id,study_title,study_link,resultIA_no_fine_tunning,resultIA_fine_tunning,study_type,study_year,cannabinoids,organ_systems,study_conditions
2024001,Prenatal Cannabis Exposure and The Risk for Neuropsychiatric Anomalies in the Offspring: A Systematic Review and Meta-Analysis,https://pubmed.ncbi.nlm.nih.gov/38908654/,Inconclusive,,Meta-analysis,2024,,,Neonatal Cerebral Issues; Pregnancy; Psychosis
2024002,The potential of cannabinoids in managing cancer-related anorexia in older adults: a systematic review of the literature,https://www.sciencedirect.com/science/article/pii/S1279770724003865?via%3Dihub,Positive,,Clinical Meta-analysis,2024,,,Loss of Appetite; Quality of Life
2024003,Therapeutic potential of cannabidiol (CBD) in anxiety disorders: A systematic review and meta-analysis,https://www.sciencedirect.com/science/article/pii/S0165178124003342?via%3Dihub,Positive,,Clinical Meta-analysis,2024,,,PTSD
2024004,The prognostic significance of pro-BNP and heart failure in acute pulmonary embolism: A systematic review,https://www.sciencedirect.com/science/article/abs/pii/S0011502924001093?via%3Dihub,Positive,,Meta-analysis,2024,,,Cardiovascular Diseases (CVD)
2024005,Cannabis and anhedonia: A systematic review,https://www.sciencedirect.com/science/article/abs/pii/S0165178124003263?via%3Dihub,Negative,,Meta-analysis,2024,,,Cannabis Adverse Effects
2024006,Efficacy of cannabis-based medicine in the treatment of Tourette syndrome: a systematic review and meta-analysis,https://link.springer.com/article/10.1007/s00228-024-03710-9,Positive,,Clinical Meta-analysis,2024,,,Tics and Tourettes
2024007,Antiviral Potential of Spirulina in Individuals with Human Immunodeficiency Virus or Hepatis C Virus Infections: A Systematic Review and Meta-Analysis,https://pubmed.ncbi.nlm.nih.gov/39003731/,Positive,,Clinical Meta-analysis,2024,,,Hepatitis; HIV/AIDS
2024008,A systematic review of predictors of vaping cessation among young people,https://pubmed.ncbi.nlm.nih.gov/39031127/,Inconclusive,,Meta-analysis,2024,,,Addiction - Cannabis; Addiction; Cannabis Adverse Effects
2024009,Cannabinoids as alleviating treatment for core symptoms of autism spectrum disorder in children and adolescents: a systematic review,https://www.tandfonline.com/doi/full/10.1080/08039488.2024.2381541#d1e167,Inconclusive,,Clinical Meta-analysis,2024,,,Autism; Behavioral Disorders; Cognitive Dysfunction
2023001,CB1 Receptor Silencing Attenuates Ketamine-Induced Hyperlocomotion Without Compromising Its Antidepressant-Like Effects,https://pubmed.ncbi.nlm.nih.gov/36067014/,Positive,,Animal Study,2023,,,Depression
2019001,Ketamine-induced antidepressant like effects in mice: A possible involvement of cannabinoid system,https://www.sciencedirect.com/science/article/pii/S0753332218375309,Positive,,Animal Study,2019,,,Depression
2018001,The Involvement of the Endocannabinoid System in the Peripheral Antinociceptive Action of Ketamine,https://www.jpain.org/article/S1526-5900(17)30801-5/pdf,Positive,,Animal Study,2018,,,Pain; Pain - Neuropathy - Inflammatory Polyneuropathy; Pain - Neuropathy - Peripheral
